region_remap,Dataset,recip_hit_FALSE,recip_hit_TRUE,total_cells_in_region,percent_recip,dataset_recip_hit_TRUE,dataset_recip_hit_FALSE,dataset_total_cells,dataset_prop_recip,p_enriched,p_depleted,difference_from_dataset_average,fold_change
ACA,Nuclei,30150,89157,119307,0.7472906032336745,3042616,933364,3975980,0.765249322179689,1,1.930270565323673e-49,-0.01795871894601453,NA
ACA,Cells,51748,51050,102798,0.4966049923150256,1660845,1559228,3220073,0.5157786795516748,1,3.937596779892346e-36,-0.019173687236649195,NA
AUD,Nuclei,16141,113312,129453,0.8753138204599352,3042616,933364,3975980,0.765249322179689,0,1,0.11006449828024623,NA
AUD,Cells,44617,25949,70566,0.3677266672335119,1660845,1559228,3220073,0.5157786795516748,1,0,-0.1480520123181629,NA
BS,Nuclei,262786,411833,674619,0.6104675379732857,3042616,933364,3975980,0.765249322179689,1,0,-0.15478178420640332,NA
BS,Cells,132375,196642,329017,0.5976651662376108,1660845,1559228,3220073,0.5157786795516748,0,1,0.08188648668593601,NA
CB,Nuclei,12223,554067,566290,0.9784156527574212,3042616,933364,3975980,0.765249322179689,0,1,0.21316633057773215,NA
CB,Cells,10303,171703,182006,0.9433919760887004,1660845,1559228,3220073,0.5157786795516748,0,1,0.4276132965370256,NA
ENT,Nuclei,56999,135867,192866,0.7044632024307032,3042616,933364,3975980,0.765249322179689,1,0,-0.060786119748985845,NA
ENT,Cells,54490,55758,110248,0.5057506712139903,1660845,1559228,3220073,0.5157786795516748,0.9999999999940591,6.198330494568771e-12,-0.010028008337684469,NA
HPF,Nuclei,22417,129057,151474,0.8520076052655902,3042616,933364,3975980,0.765249322179689,0,1,0.08675828308590117,NA
HPF,Cells,36502,139687,176189,0.7928247506938572,1660845,1559228,3220073,0.5157786795516748,0,1,0.2770460711421824,NA
HY,Nuclei,37923,71594,109517,0.653724992466923,3042616,933364,3975980,0.765249322179689,1,0,-0.11152432971276605,NA
HY,Cells,177431,84833,262264,0.3234641430009456,1660845,1559228,3220073,0.5157786795516748,1,0,-0.19231453655072916,NA
LSX,Nuclei,12983,23296,36279,0.6421345682075029,3042616,933364,3975980,0.765249322179689,1,0,-0.12311475397218608,NA
LSX,Cells,34280,19543,53823,0.36309756052245323,1660845,1559228,3220073,0.5157786795516748,1,0,-0.15268111902922155,NA
MB,Nuclei,180093,516077,696170,0.7413088757056466,3042616,933364,3975980,0.765249322179689,1,0,-0.023940446474042365,NA
MB,Cells,182283,184896,367179,0.5035582100283513,1660845,1559228,3220073,0.5157786795516748,1,4.181266001346406e-56,-0.012220469523323452,NA
MOp,Nuclei,26245,138574,164819,0.8407647176599785,3042616,933364,3975980,0.765249322179689,0,1,0.07551539548028952,NA
MOp,Cells,153385,94275,247660,0.3806630057336671,1660845,1559228,3220073,0.5157786795516748,1,0,-0.13511567381800765,NA
OLF,Nuclei,30477,149086,179563,0.8302712696936452,3042616,933364,3975980,0.765249322179689,0,1,0.06502194751395618,NA
